bin_index,left,right,mid,count,is_just_below_zero,is_just_above_zero,expected,z,p_value
0,-0.1,-0.095,-0.0975,167,False,False,,,
1,-0.095,-0.09,-0.0925,159,False,False,165.5,-0.4209242984601399,0.6738103613866334
2,-0.09,-0.085,-0.0875,164,False,False,170.5,-0.4146305104774226,0.678412409367058
3,-0.085,-0.08,-0.0825,182,False,False,175.5,0.398721067279961,0.6900987429752508
4,-0.08,-0.075,-0.0775,187,False,False,190.0,-0.18006957034154591,0.8570979514415205
5,-0.075,-0.07,-0.07250000000000001,198,False,False,196.5,0.08787239924119264,0.9299780939394034
6,-0.07,-0.065,-0.0675,206,False,False,205.5,0.028702266763269393,0.977102048498216
7,-0.065,-0.06,-0.0625,213,False,False,207.5,0.3117613114480793,0.7552219285776464
8,-0.06,-0.055,-0.057499999999999996,209,False,False,214.5,-0.31205172937929837,0.7550012103647644
9,-0.055,-0.05,-0.052500000000000005,216,False,False,220.5,-0.2514390567194117,0.8014746744770428
10,-0.05,-0.045,-0.0475,232,False,False,234.5,-0.13509433633684628,0.8925372880773479
11,-0.045,-0.04,-0.042499999999999996,253,False,False,251.0,0.1038949410145136,0.9172527218673966
12,-0.04,-0.035,-0.037500000000000006,270,False,False,281.5,-0.5741023787195121,0.5658985237766911
13,-0.035,-0.03,-0.0325,310,False,False,292.0,0.8535912083190669,0.39333153150032496
14,-0.03,-0.025,-0.0275,314,False,False,312.5,0.07009054869747286,0.9441215892492413
15,-0.025,-0.02,-0.0225,315,False,False,335.0,-0.9232197291358427,0.3558927094086898
16,-0.02,-0.015,-0.0175,356,False,False,336.5,0.8640941401146464,0.38753617781012795
17,-0.015,-0.01,-0.0125,358,False,False,382.5,-1.0620950381699341,0.28819254242657755
18,-0.01,-0.005,-0.0075,409,False,False,408.5,0.02054312702982274,0.9836101089308911
19,-0.005,0.0,-0.0025,459,True,False,479.5,-0.7912502450377386,0.4287979764294457
20,0.0,0.005,0.0025,550,False,True,496.0,1.9539631288119932,0.05070557782103019
21,0.005,0.01,0.0075,533,False,False,570.0,-1.3248286876917814,0.18522797753669618
22,0.01,0.015,0.0125,590,False,False,554.5,1.2349616123003184,0.21684479123827738
23,0.015,0.02,0.0175,576,False,False,592.5,-0.5728541860971835,0.5667434267661782
24,0.02,0.025,0.0225,595,False,False,602.0,-0.2399183587132172,0.8103935482628759
25,0.025,0.03,0.0275,628,False,False,619.0,0.3018574344693136,0.7627607453574713
26,0.03,0.035,0.0325,643,False,False,630.5,0.4149137275052498,0.6782050601987228
27,0.035,0.04,0.037500000000000006,633,False,False,618.0,0.5019160541338851,0.61572657188336
28,0.04,0.045,0.042499999999999996,593,False,False,634.0,-1.3956945478010145,0.16280649685771997
29,0.045,0.05,0.0475,635,False,False,619.5,0.5179292349189737,0.6045076436604326
30,0.05,0.055,0.052500000000000005,646,False,False,614.0,1.0646508915971142,0.287033940732349
31,0.055,0.06,0.057499999999999996,593,False,False,615.0,-0.7524131058229884,0.45180266754762277
32,0.06,0.065,0.0625,584,False,False,575.5,0.29507820329535756,0.7679341400305383
33,0.065,0.07,0.0675,558,False,False,538.0,0.7117970966675996,0.4765904308313038
34,0.07,0.075,0.07250000000000001,492,False,False,500.0,-0.29996426339428056,0.7642044147801857
35,0.075,0.08,0.0775,442,False,False,464.0,-0.8639999272202665,0.38758793053391327
36,0.08,0.085,0.0825,436,False,False,417.5,0.7417821493929978,0.45821933758260813
37,0.085,0.09,0.0875,393,False,False,406.5,-0.5623575980847774,0.5738724024725943
38,0.09,0.095,0.0925,377,False,False,368.5,0.3644681810723782,0.7155084300460659
39,0.095,0.1,0.0975,344,False,False,,,
