check,spec,bin_width,n_window,count_below,expected_below,z_below,p_below,count_above,expected_above,z_above,p_above
6.1 denominator,net income / lagged assets,0.0025,16018,246,252.0,-0.31437429083794716,0.7532367799918024,291,252.5,1.906073503595183,0.056640669837196865
6.1 denominator,net income / lagged assets,0.005,16018,459,479.5,-0.7912502450377386,0.4287979764294457,550,496.0,1.9539631288119932,0.05070557782103019
6.1 denominator,net income / lagged assets,0.01,16018,868,898.5,-0.8732789515924076,0.38251105034011335,1083,1017.0,1.7310339492505415,0.08344570958035051
6.1 denominator,net income / revenue,0.0025,13452,166,220.5,-3.3131636944288774,0.0009224697230958049,254,220.0,1.8029943800627428,0.07138909728858928
6.1 denominator,net income / revenue,0.005,13452,353,422.0,-2.9651764751623966,0.0030250934152879893,528,406.0,4.617695316137944,3.880254070782038e-06
6.1 denominator,net income / revenue,0.01,13452,669,770.5,-3.247527739706473,0.0011641231580363021,987,852.0,3.7636457181236,0.00016745407616961306
6.1 denominator,net income / lagged book equity,0.0025,7177,88,100.5,-1.0727985973059906,0.2833614903058196,114,92.0,1.755735831444087,0.07913352559950733
6.1 denominator,net income / lagged book equity,0.005,7177,175,194.5,-1.203080739119296,0.2289450780689114,210,182.5,1.6135633818742732,0.10662216492724533
6.1 denominator,net income / lagged book equity,0.01,7177,354,345.5,0.38295403092493097,0.7017538485465533,400,384.5,0.6613086631195797,0.5084143869023376
6.2 size tercile,small,0.0025,5340,100,93.5,0.5431013395837068,0.5870600303676023,111,95.0,1.2872178573295958,0.19801836478394363
6.2 size tercile,small,0.005,5340,176,180.0,-0.2509172129387778,0.8018781160518835,201,178.0,1.3831826504679676,0.16660886810637454
6.2 size tercile,small,0.01,5340,335,333.5,0.06994501166793589,0.9442374267037822,381,353.5,1.2211190439308843,0.22204095018674253
6.2 size tercile,medium,0.0025,5339,79,90.5,-1.043099400654241,0.2969022582648574,102,83.5,1.5607762887420404,0.11857654388621615
6.2 size tercile,medium,0.005,5339,158,162.0,-0.2640918860286194,0.7917091160248949,190,170.0,1.2336623175523704,0.2173287610660516
6.2 size tercile,medium,0.01,5339,292,301.0,-0.4447168423846165,0.6565243962712031,372,355.5,0.7377848440991076,0.4606452045977072
6.2 size tercile,large,0.0025,5339,67,68.0,-0.10035532184496596,0.9200622386404208,78,74.0,0.37656370522699817,0.7064978645226078
6.2 size tercile,large,0.005,5339,125,137.5,-0.9134014343201031,0.3610314514935028,159,148.0,0.7347024573863472,0.46252072339506667
6.2 size tercile,large,0.01,5339,241,264.0,-1.2310431879465655,0.21830671197364748,330,308.0,1.041923175683326,0.29744729825661453
6.3 size floor,assets >= $0m,0.0025,16480,252,260.5,-0.4393607651459164,0.6604001508826263,299,258.5,1.9790967118972016,0.047805118616775874
6.3 size floor,assets >= $0m,0.005,16480,474,493.0,-0.7222097241321837,0.47016554567659297,564,510.0,1.9286756250581913,0.0537711440812478
6.3 size floor,assets >= $0m,0.01,16480,896,925.5,-0.8317087816664891,0.4055733426287613,1110,1048.0,1.60480081462533,0.10853764665653523
6.3 size floor,assets >= $1m,0.0025,16386,250,257.5,-0.3894387302350444,0.6969516262747433,296,257.5,1.8890795008812604,0.05888117677506391
6.3 size floor,assets >= $1m,0.005,16386,469,490.5,-0.8207879033561899,0.4117670900773821,561,506.5,1.9521801465041773,0.05091682043546207
6.3 size floor,assets >= $1m,0.01,16386,889,921.5,-0.9193505795933884,0.35791222991801475,1105,1041.0,1.6608821479569336,0.09673711831040399
6.3 size floor,assets >= $10m,0.0025,16018,246,252.0,-0.31437429083794716,0.7532367799918024,291,252.5,1.906073503595183,0.056640669837196865
6.3 size floor,assets >= $10m,0.005,16018,459,479.5,-0.7912502450377386,0.4287979764294457,550,496.0,1.9539631288119932,0.05070557782103019
6.3 size floor,assets >= $10m,0.01,16018,868,898.5,-0.8732789515924076,0.38251105034011335,1083,1017.0,1.7310339492505415,0.08344570958035051
