quarter,submissions_total,submissions_10k,num_lines,num_kept,num_malformed,extras,sub_rows,num_rows
2017q1,6270,4325,3095513,101715,0,{'num_unparseable_values': 368},4325,101347
2017q2,7226,810,2321869,13453,0,{'num_unparseable_values': 266},810,13187
2017q3,6508,479,2475254,9100,0,{'num_unparseable_values': 139},479,8961
2017q4,6549,474,2518948,9973,0,{'num_unparseable_values': 120},474,9853
2018q1,5984,3943,3033024,95979,0,{'num_unparseable_values': 307},3943,95672
2018q2,7484,1050,2663988,17204,0,{'num_unparseable_values': 304},1050,16900
2018q3,6493,432,2629893,8230,0,{'num_unparseable_values': 110},432,8120
2018q4,6418,450,2681097,9459,0,{'num_unparseable_values': 110},450,9349
2019q1,5708,3883,3072555,95526,0,{'num_unparseable_values': 336},3883,95190
2019q2,7232,998,2816279,15853,0,{'num_unparseable_values': 259},998,15594
2019q3,6274,443,2957329,8107,0,{'num_unparseable_values': 143},443,7964
2019q4,6211,414,3094866,8911,0,{'num_unparseable_values': 105},414,8806
2020q1,5816,4027,3099352,96316,0,{'num_unparseable_values': 349},4027,95967
2020q2,6561,702,2562710,11841,0,{'num_unparseable_values': 151},702,11690
2020q3,6302,428,2868109,8131,0,{'num_unparseable_values': 90},428,8041
2020q4,6260,406,2963091,8497,0,{'num_unparseable_values': 59},406,8438
2021q1,6316,4335,3072093,87863,0,{'num_unparseable_values': 384},4335,87479
2021q2,7810,661,2833915,9795,0,{'num_unparseable_values': 163},661,9632
2021q3,7499,443,3172372,6954,0,{'num_unparseable_values': 140},443,6814
2021q4,7556,422,3389370,6881,0,{'num_unparseable_values': 91},422,6790
2022q1,7237,4862,3264632,76607,0,{'num_unparseable_values': 527},4862,76080
2022q2,8509,852,3047158,11083,0,{'num_unparseable_values': 223},852,10860
2022q3,7474,384,3229151,5840,0,{'num_unparseable_values': 69},384,5771
2022q4,7280,418,3543392,6409,0,{'num_unparseable_values': 92},418,6317
2023q1,6754,4653,3428670,73245,0,{'num_unparseable_values': 385},4653,72860
2023q2,8039,800,3393990,11053,0,{'num_unparseable_values': 138},800,10915
2023q3,7067,358,3572434,5278,0,{'num_unparseable_values': 47},358,5231
2023q4,6882,391,3699124,5962,0,{'num_unparseable_values': 39},391,5923
2024q1,6028,3974,3428694,63553,0,{'num_unparseable_values': 157},3974,63396
2024q2,7675,1033,3426170,14067,0,{'num_unparseable_values': 156},1033,13911
2024q3,6699,403,3521878,5744,0,{'num_unparseable_values': 26},403,5718
2024q4,6491,373,3705078,5897,0,{'num_unparseable_values': 38},373,5859
2025q1,6231,4171,3658551,64680,0,{'num_unparseable_values': 192},4171,64488
2025q2,7009,624,3409930,8778,0,{'num_unparseable_values': 74},624,8704
2025q3,6541,382,3720081,5492,0,{'num_unparseable_values': 45},382,5447
2025q4,6304,353,3832977,5419,0,{'num_unparseable_values': 29},353,5390
2026q1,0,0,0,0,0,{'from_cache': True},4262,63569
